Day,MSE Conv,MSE PCA
2022-12-07,3.309674891643226,4.007720357142857
2022-12-08,4.08813888207078,3.706256904761905
2022-12-09,4.307420365512371,3.766811904761905
2022-12-10,4.016803409904242,3.6734892857142856
2022-12-11,3.8311432348564254,3.3754176190476186
2022-12-12,4.349101278930903,3.5651369047619053
2022-12-13,4.51299455948174,3.729638571428571
2022-12-14,4.267237996682525,3.622530952380953
2022-12-15,4.349936759099363,3.6519615476190483
2022-12-16,3.7633384857326746,3.3290180952380948
2022-12-17,4.148609787225723,2.379979523809524
2022-12-18,4.2902813851833335,2.7487448809523807
2022-12-19,3.732899981550872,3.733692142857144
2022-12-20,3.436644840985537,4.212600952380952
2022-12-21,3.976235836744309,4.562782380952381
2022-12-22,2.05321388784796,3.8095280952380963
2022-12-23,0.9772243187762796,2.5211835714285717
2022-12-24,1.2269916851073503,3.3788444047619053
2022-12-25,1.3630617898888886,2.7020978571428573
2022-12-26,0.7853350904770195,2.824705238095238
2022-12-27,1.0887707769870758,2.4654361904761912
2022-12-28,0.7591686258092523,2.3951614285714284
2022-12-29,1.1754868738353252,3.1464871428571426
2022-12-30,0.9843465615995228,2.663275
2022-12-31,0.989118927391246,2.0408614285714286
2023-01-01,4.796882076188922,1.5820602380952382
2023-01-02,0.7661723624914885,1.4506830952380951
2023-01-03,0.9007096057757735,2.502061666666666
2023-01-04,0.7461813383270055,2.5718609523809524
2023-01-05,0.9556750813499092,3.9729642857142857
2023-01-06,0.8292361535131931,2.834895714285714
2023-01-07,0.7904951542150229,2.8439428571428573
2023-01-08,0.8258888893760741,2.972890714285714
2023-01-09,0.8182574738748372,2.974315238095238
2023-01-10,1.2268596421927214,3.136192857142857
2023-01-11,0.9943714924156666,3.1851979761904765
2023-01-12,1.2345136189833283,3.685564047619047
2023-01-13,1.77922970848158,3.147395
2023-01-14,3.440157514996826,4.069595238095238
2023-01-15,3.2381503796204925,2.7110963095238096
2023-01-16,3.306576632894576,3.3065879761904764
2023-01-17,3.3762715430930257,3.0272473809523808
2023-01-18,3.106020069681108,2.937263809523808
2023-01-19,3.627489600330591,3.8159805952380963
2023-01-20,3.169136820361018,2.7995369047619048
2023-01-21,3.073390033096075,2.7880689285714286
2023-01-22,3.0518744001165032,2.612912857142857
2023-01-23,2.9974446957930923,2.6986340476190485
2023-01-24,3.242221623659134,2.896674285714286
2023-01-25,2.9105248348787427,2.8549357142857144
2023-01-26,3.5056092403829098,4.0096397619047615
2023-01-27,3.0924540851265188,2.6712366666666667
2023-01-28,3.2019525719806547,2.663232142857143
2023-01-29,2.978738062083721,2.5002183333333337
2023-01-30,3.283953834325075,2.835664523809524
2023-01-31,3.289256924763322,3.108770714285714
2023-02-01,3.2722461875528097,3.3408710714285714
2023-02-02,3.3448443794623017,4.403955000000002
2023-02-03,3.1291247298941016,2.5486880952380955
2023-02-04,3.189456705003977,2.697209523809524
2023-02-05,3.0163555685430765,2.4037782142857145
2023-02-06,3.3069587498903275,2.765268095238095
2023-02-07,3.368841279298067,2.9570267857142856
2023-02-08,3.3570683235302567,2.8550102380952382
2023-02-09,3.704478219151497,5.177698333333334
2023-02-10,3.421574849635362,3.0913191666666666
2023-02-11,3.2169194938614964,2.6233295238095238
2023-02-12,3.0672980099916463,2.2704144047619046
2023-02-13,3.1942938454449177,2.241258571428572
2023-02-14,3.122568419203162,3.662052380952381
2023-02-15,3.2171493815258145,2.7309719047619048
2023-02-16,3.243954805657268,3.2423721428571426
2023-02-17,3.151597436517477,2.9665311904761897
2023-02-18,3.10637820046395,1.6468770238095236
2023-02-19,3.0461260210722685,2.392900476190476
2023-02-20,3.2474705670028925,1.9673846428571429
2023-02-21,3.7394999898970127,2.028922380952381
2023-02-22,3.5775980399921536,1.4430433333333332
2023-02-23,4.272855520248413,4.025740238095239
2023-02-24,4.209640687331556,2.7967150000000003
2023-02-25,4.077140847221017,2.465127738095238
2023-02-26,3.8413843978196383,2.7859478571428573
2023-02-27,4.844677811488508,2.588725
2023-02-28,5.146051514893768,3.229786071428572
2023-03-01,6.1652983725070944,4.899834761904762
2023-03-02,4.972117748111486,4.319439642857144
2023-03-03,4.338768208399415,2.556182857142857
2023-03-04,4.013759773224591,2.3587207142857145
2023-03-05,3.9398145535960793,1.920532857142857
2023-03-06,4.522673115134238,2.3808478571428573
2023-03-07,4.061675677075982,2.7521605952380948
2023-03-08,4.128876971080898,2.6723414285714284
2023-03-09,4.518791623413564,4.3109150000000005
2023-03-10,4.0485298074781895,3.550580714285714
2023-03-11,5.891883093863728,3.4578711904761903
2023-03-12,4.374178033322097,1.7148942857142857
2023-03-13,4.8083180375397205,1.9183983333333328
2023-03-14,5.520756533369422,2.635642738095238
2023-03-15,5.622620992362499,2.776461904761905
2023-03-16,5.561445700004697,4.114164285714286
2023-03-17,5.4367017187178135,2.6661322619047616
2023-03-18,5.383071871474385,3.4157216666666663
2023-03-19,5.121831139549613,2.798867619047619
2023-03-20,4.338370654731989,2.4850947619047616
2023-03-21,4.987178714945912,2.8729359523809523
2023-03-22,4.350671544671059,3.0437860714285714
2023-03-23,5.749456286430359,3.0827064285714285
2023-03-24,5.090164113789797,3.624343214285714
2023-03-25,5.542004518210888,3.6095083333333333
2023-03-26,4.528477303683758,2.4869045238095238
2023-03-27,5.489663276821375,3.3434602380952385
2023-03-28,5.488636381924152,2.7271692857142855
2023-03-29,4.2752313427627096,2.6259107142857143
2023-03-30,5.891200080513954,4.529783571428572
2023-03-31,4.61135370656848,3.1585242857142855
2023-04-01,4.741069246083498,3.084210476190476
