Day,MSE 0/100,MSE 100/0,MSE 70/30,MSE 10/90,MSE 30/70
2022-07-28,1.2095750821754336,11.008385494351387,4.485503509640693,0.9987783059477806,1.7569214617833495
2022-07-29,1.2849687365815043,11.174647472798824,4.7600392531603575,1.0151317971758544,1.822584788314998
2022-07-30,1.5251096757128837,9.220216646790504,4.247370762750506,1.163705843500793,2.106657545082271
2022-07-31,1.405750005505979,10.775270853191614,4.6392043121159094,1.1144866095855832,2.050131065770984
2022-08-01,1.4855407364666462,11.862203478813171,5.0177001021802425,1.092491252347827,2.123317988589406
2022-08-02,1.4641535840928557,11.043514609336851,4.224541112780572,1.0894021368585527,1.9928282406181097
2022-08-03,1.9801590079441669,9.980228114873169,4.2614998295903215,1.2671009078621864,2.417844696901738
2022-08-04,1.5973974717780948,10.522412471473217,4.207991100847721,1.1858104448765516,1.9995676539838316
2022-08-05,1.4000987587496638,10.9169415012002,4.387311553582549,1.194495353847742,2.018984374590218
2022-08-06,1.4653813932090998,10.537539459764957,4.2725952342152596,1.240030329208821,2.0195612311363216
2022-08-07,1.4002920733764768,11.236833035945892,4.150129230692983,1.1794483987614512,1.9833249505609276
2022-08-08,1.4694697363302112,10.311151407659056,4.218973936513066,1.2493577599525452,2.1214584633708
2022-08-09,1.8017357820644968,10.443617999553679,4.335024934262037,1.3426536787301302,2.2321842843666677
2022-08-10,1.280254377052188,11.248195376247168,4.1913479939103135,1.1176105169579387,1.8528709444217384
2022-08-11,1.5169695625081658,11.890276372432707,4.183144234120847,1.1887741670943797,2.0539560355246067
2022-08-12,1.4112499728798866,10.159552842378618,4.1960454918444166,1.2022041901946068,2.0023894775658846
2022-08-13,1.476981220766902,10.463059656322002,4.279352221637963,1.1923776799812913,1.9750305893830955
2022-08-14,1.5431424393318594,10.505954604595901,4.2578325513750315,1.2869139946997166,2.01615946367383
2022-08-15,1.601138252299279,10.55901400744915,4.246947560459375,1.2136996421031654,2.0652036694809794
